Plan_Tarihi;Toplam_Is_Emri;Toplam_Bobin;Toplam_Metraj;Ortalama_Zorluk;Aktif_Hat;Aktif_Operator;Bakim_Gunu
1.01.2026;162;4730;806425;404.320.987.654.321;9;7;False
1.04.2026;165;4817;803515;4.0;9;6;False
1.05.2026;165;4919;808720;39.454.545.454.545.400;9;5;False
1.07.2025;180;5407;806620;39.444.444.444.444.400;9;6;False
1.08.2025;147;4848;806330;4.074.829.931.972.780;9;7;False
1.09.2025;142;4125;681410;37.535.211.267.605.600;9;5;True
1.10.2025;174;5098;806085;3.942.528.735.632.180;9;7;False
1.11.2025;149;4457;681040;3.778.523.489.932.880;9;7;True
1.12.2025;140;4155;681085;4.014.285.714.285.710;9;6;True
2.01.2026;152;4899;804635;39.210.526.315.789.400;9;7;False
2.02.2026;141;4312;682280;400.709.219.858.156;9;5;True
2.03.2026;134;4242;680855;3.873.134.328.358.200;9;6;True
2.04.2026;151;4833;806285;4.052.980.132.450.330;9;7;False
2.05.2026;150;4363;680140;Mar.92;9;5;True
2.06.2025;148;4412;681475;38.175.675.675.675.600;9;6;True
2.07.2025;173;4992;807150;3.786.127.167.630.050;9;6;False
2.08.2025;141;4247;682190;39.361.702.127.659.500;9;7;True
2.09.2025;165;5017;807485;38.484.848.484.848.400;9;4;False
2.10.2025;169;4997;807385;3.905.325.443.786.980;9;6;False
2.12.2025;185;5158;804320;38.702.702.702.702.700;9;7;False
3.01.2026;142;4058;680875;3.880.281.690.140.840;9;6;True
3.02.2026;165;5047;805520;38.363.636.363.636.300;9;6;False
3.03.2026;155;4854;806760;3.832.258.064.516.120;9;6;False
3.04.2026;159;5080;803275;39.559.748.427.672.900;9;6;False
3.06.2025;158;5139;805945;37.974.683.544.303.700;9;6;False
3.07.2025;164;4926;805760;39.634.146.341.463.400;9;7;False
3.09.2025;162;5081;807670;38.333.333.333.333.300;9;7;False
3.10.2025;167;4966;806805;38.682.634.730.538.900;9;7;False
3.11.2025;128;4132;680705;38.828.125;9;7;True
3.12.2025;168;4982;805235;39.345.238.095.238.000;9;6;False
4.02.2026;161;4802;805710;3.906.832.298.136.640;9;6;False
4.03.2026;162;4879;808055;3.950.617.283.950.610;9;7;False
4.04.2026;149;4376;681670;3.959.731.543.624.160;9;7;True
4.05.2026;153;4386;683035;3.679.738.562.091.500;9;6;True
4.06.2025;164;5142;807625;4.054.878.048.780.480;9;6;False
4.07.2025;161;4744;808750;3.906.832.298.136.640;9;7;False
4.08.2025;140;4260;681580;38.142.857.142.857.100;9;7;True
4.09.2025;168;5135;807590;3.761.904.761.904.760;9;7;False
4.10.2025;142;4463;678995;3.767.605.633.802.810;9;6;True
4.11.2025;166;4756;806080;39.759.036.144.578.300;9;6;False
4.12.2025;154;4806;805920;37.662.337.662.337.600;9;6;False
5.01.2026;141;4226;682660;40.212.765.957.446.800;9;8;True
5.02.2026;150;4749;807625;Mar.76;9;6;False
5.03.2026;162;4699;804170;4.172.839.506.172.830;9;5;False
5.05.2026;160;4927;806450;390.625;9;6;False
5.06.2025;163;4916;803590;4.061.349.693.251.530;9;7;False
5.07.2025;137;4359;680215;3.897.810.218.978.100;9;5;True
5.08.2025;167;5083;807085;38.982.035.928.143.700;9;6;False
5.09.2025;174;4916;808210;39.655.172.413.793.100;9;7;False
5.11.2025;160;4978;806460;38.375;9;7;False
5.12.2025;187;4969;804530;37.914.438.502.673.700;9;4;False
6.01.2026;157;4827;807535;4.050.955.414.012.730;9;7;False
6.02.2026;152;4834;806670;40.131.578.947.368.400;9;7;False
6.03.2026;168;5176;803205;39.226.190.476.190.400;9;6;False
6.04.2026;141;4125;681905;4.113.475.177.304.960;9;8;True
6.05.2026;160;4964;806260;38.875;9;6;False
6.06.2025;160;4802;804820;41.625;9;6;False
6.08.2025;156;4781;807700;4.108.974.358.974.350;9;7;False
6.09.2025;148;4353;681610;39.527.027.027.027.000;9;7;True
6.10.2025;140;4141;680515;39.642.857.142.857.100;9;6;True
6.11.2025;159;4838;807620;4.088.050.314.465.400;9;6;False
6.12.2025;146;4035;679675;4.061.643.835.616.430;9;6;True
7.01.2026;173;5055;808070;408.092.485.549.133;9;8;False
7.02.2026;144;4168;678960;38.194.444.444.444.400;9;6;True
7.03.2026;137;4326;683315;39.635.036.496.350.300;9;7;True
7.04.2026;181;4954;808045;3.994.475.138.121.540;9;6;False
7.05.2026;170;4910;802155;38.529.411.764.705.800;9;6;False
7.06.2025;151;4153;680040;4.072.847.682.119.200;9;6;True
7.07.2025;143;4221;680490;3.923.076.923.076.920;9;6;True
7.08.2025;174;5019;803315;38.505.747.126.436.700;9;6;False
7.10.2025;162;5057;805505;3.734.567.901.234.560;9;5;False
7.11.2025;147;5045;804080;4.183.673.469.387.750;9;4;False
8.01.2026;175;4920;804940;37.885.714.285.714.200;9;6;False
8.04.2026;161;4918;804985;3.981.366.459.627.320;9;7;False
8.05.2026;171;4959;808315;3.801.169.590.643.270;9;6;False
8.07.2025;164;5056;806795;4.097.560.975.609.750;9;6;False
8.08.2025;179;5116;808010;406.145.251.396.648;9;7;False
8.09.2025;136;4118;681105;4.007.352.941.176.470;9;8;True
8.10.2025;160;4994;805965;Mar.95;9;7;False
8.11.2025;143;4279;680985;3.965.034.965.034.960;9;6;True
8.12.2025;134;4086;682470;3.611.940.298.507.460;9;7;True
9.01.2026;169;5275;804515;4.023.668.639.053.250;9;8;False
9.02.2026;136;4137;680360;38.455.882.352.941.100;9;6;True
9.03.2026;138;4150;680795;37.246.376.811.594.200;9;5;True
9.04.2026;175;4987;807350;3.914.285.714.285.710;9;5;False
9.05.2026;132;4171;681280;36.818.181.818.181.800;9;6;True
9.06.2025;146;4283;682590;402.054.794.520.548;9;8;True
9.07.2025;161;5041;806585;3.888.198.757.763.970;9;7;False
9.08.2025;135;4156;682055;3.837.037.037.037.030;9;7;True
9.09.2025;161;5183;808110;3.950.310.559.006.210;9;8;False
9.10.2025;168;4791;807100;3.988.095.238.095.230;9;7;False
