Plan_Tarihi;Hat_Kodu;Hat_Adi;Is_Emri_Sira;Urun_Kodu;Urun_Adi;Malzeme_Kodu;Izolasyon_Cinsi;Zorluk_Derecesi;Planlanan_Bobin;Planlanan_Metraj;Bobin_Metraj;Operator_Kodu;Tahmini_Sure_Saat;Bakim_Gunu;Kapasite_Kullanim
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;1;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;6;600;100;OPR-1003;0.38;True;0.5
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;2;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Kauçuk;3;22;3300;150;OPR-1003;1.�ub;True;3.�ub
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;3;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;19;1900;100;OPR-1003;0.69;True;4.Tem
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;4;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;52;5200;100;OPR-1003;Oca.25;True;9.0
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;5;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;48;4800;100;OPR-1003;1.A�u;True;12.Eyl
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;6;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Kauçuk;3;39;5850;150;OPR-1003;Oca.47;True;17.Tem
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;7;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;42;4200;100;OPR-1003;0.98;True;21.Oca
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;8;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;7;1750;250;OPR-1003;0.66;True;22.May
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;9;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;10;1000;100;OPR-1003;0.45;True;23.Nis
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;10;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;19;1900;100;OPR-1003;0.69;True;24.Eyl
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;11;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;43;13115;305;OPR-1003;�ub.75;True;35.6
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;12;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;40;4000;100;OPR-1003;0.95;True;38.9
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;13;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;50;5000;100;OPR-1003;Oca.22;True;43.0
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;14;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Kauçuk;3;49;7350;150;OPR-1003;Oca.74;True;49.0
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;15;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;31;9455;305;OPR-1003;2.Kas;True;56.7
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;16;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;33;3300;100;OPR-1003;0.93;True;59.4
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;17;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;22;6710;305;OPR-1003;Oca.62;True;64.9
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;18;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;53;5300;100;OPR-1003;Oca.17;True;69.2
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;19;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;49;4900;100;OPR-1003;1.�ub;True;73.2
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;20;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;26;6500;250;OPR-1003;Oca.48;True;78.5
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;21;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;PVC;1;14;4200;300;OPR-1003;0.98;True;82.0
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;22;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;53;5300;100;OPR-1003;Oca.27;True;86.3
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;23;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;PVC;1;11;3300;300;OPR-1003;0.83;True;89.0
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;24;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;29;2900;100;OPR-1003;0.77;True;91.4
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;25;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;27;2700;100;OPR-1003;0.73;True;93.6
2.06.2025;XTR-1001;Mikro Extruder Hattı Alfa;26;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;PVC;1;24;7200;300;OPR-1003;Oca.49;True;99.5
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;27;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Halogen-Free;4;39;5850;150;OPR-1002;1.A�u;True;7.�ub
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;28;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;29;5800;200;OPR-1002;Oca.67;True;14.Mar
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;29;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;40;8000;200;OPR-1002;�ub.13;True;24.Oca
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;30;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;58;11600;200;OPR-1002;�ub.74;True;38.3
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;31;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Kauçuk;6;60;6000;100;OPR-1002;2.A�u;True;45.6
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;32;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;41;8200;200;OPR-1002;2.Nis;True;55.7
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;33;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;XLPE;4;50;7500;150;OPR-1002;�ub.16;True;64.9
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;34;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;7;1400;200;OPR-1002;0.74;True;66.6
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;35;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;XLPE;4;54;8100;150;OPR-1002;�ub.29;True;76.5
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;36;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;10;2000;200;OPR-1002;0.77;True;79.0
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;37;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;XLPE;4;60;9000;150;OPR-1002;�ub.48;True;90.0
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;38;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;29;5800;200;OPR-1002;Oca.67;True;97.1
2.06.2025;XTR-1002;Standart Extruder Hattı Beta;39;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;8;1600;200;OPR-1002;0.69;True;99.1
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;40;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;27;2160;80;OPR-1004;Oca.77;True;6.0
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;41;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;47;4700;100;OPR-1004;�ub.81;True;19.Oca
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;42;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;49;3920;80;OPR-1004;�ub.66;True;29.Eyl
